Space Key,Work Type,Summary,Description,Priority,Labels,Requirement ID
AEQA,Requirement,REQ-AUTH-001 - Register User,"Feature: Registration
Requirement source: Site Scenario
Source scenario ID: SRC-TC-01
Coverage status: Partially Covered
Coverage rationale: Registration and deletion are covered, but the complete continuous workflow and optional newsletter/partner selections are not documented.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Not Automated
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-SIGNUP-001.png
..\Screenshots\AE-SIGNUP-002.png
..\Screenshots\AE-ACCOUNT-001.png
Gap / reconciliation note: Add an end-to-end registration case or explicitly document why the workflow is decomposed. Verify newsletter and partner selections if they are in scope.",Highest,rtm-requirement,REQ-AUTH-001
AEQA,Requirement,REQ-AUTH-002 - Login User with correct email and password,"Feature: Login / Account
Requirement source: Site Scenario
Source scenario ID: SRC-TC-02
Coverage status: Fully Covered
Coverage rationale: Valid login, username confirmation, and account deletion are covered across two focused test cases.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-LOGIN-001.png
..\Screenshots\AE-ACCOUNT-001.png
Gap / reconciliation note: No immediate gap. Maintain cross-reference between the two focused cases.",Highest,rtm-requirement,REQ-AUTH-002
AEQA,Requirement,REQ-AUTH-003 - Login User with incorrect email and password,"Feature: Login
Requirement source: Site Scenario
Source scenario ID: SRC-TC-03
Coverage status: Fully Covered
Coverage rationale: Incorrect-password handling is covered by AE-LOGIN-003, and rejection of an unregistered email address is covered by AE-LOGIN-004.
Test type: Functional — Negative
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-LOGIN-003.png
..\Screenshots\AE-LOGIN-004.png
Gap / reconciliation note: No immediate coverage gap. Retain both cases so invalid-password and unregistered-email behavior remain independently traceable.",High,rtm-requirement,REQ-AUTH-003
AEQA,Requirement,REQ-AUTH-004 - Logout User,"Feature: Logout
Requirement source: Site Scenario
Source scenario ID: SRC-TC-04
Coverage status: Fully Covered
Coverage rationale: The source logout flow and additional browser-back session behavior were executed.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Fail
Postman result: N/A
Playwright result: Fail
Overall execution status: Fail
Evidence reference(s): ..\Screenshots\AE-LOGOUT-001.png
Defect ID(s): AE-BUG-001
AE-BUG-002
Gap / reconciliation note: Retest after defects are corrected. Keep the additional browser-back check as enhanced coverage.",High,rtm-requirement,REQ-AUTH-004
AEQA,Requirement,REQ-AUTH-005 - Register User with existing email,"Feature: Registration
Requirement source: Site Scenario
Source scenario ID: SRC-TC-05
Coverage status: Fully Covered
Coverage rationale: Registration with an already registered email address was executed successfully and the expected duplicate-email error was displayed.
Test type: Functional — Negative
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-SIGNUP-005.png
Gap / reconciliation note: No immediate gap. Continue using a dedicated QA account and sanitized evidence.",High,rtm-requirement,REQ-AUTH-005
AEQA,Requirement,REQ-CONTACT-001 - Contact Us Form,"Feature: Contact
Requirement source: Site Scenario
Source scenario ID: SRC-TC-06
Coverage status: Fully Covered
Coverage rationale: Text entry, permitted file upload, the confirmation dialog, success messaging, and return to Home all matched the expected result.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-CONTACT-001.png
Gap / reconciliation note: No immediate gap. Preserve the sanitized AE-CONTACT-001 screenshot and successful return-to-Home observation for regression evidence.",Medium,rtm-requirement,REQ-CONTACT-001
AEQA,Requirement,REQ-NAV-001 - Verify Test Cases Page,"Feature: Navigation
Requirement source: Site Scenario
Source scenario ID: SRC-TC-07
Coverage status: Fully Covered
Coverage rationale:  Navigation to the Test Cases page completed without error and the published scenarios were visible as expected.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-NAV-001.png
Gap / reconciliation note: No immediate gap. Retain AE-NAV-001 evidence showing both successful navigation and the published Test Cases page content.",Low,rtm-requirement,REQ-NAV-001
AEQA,Requirement,REQ-PRODUCT-001 - Verify All Products and product detail page,"Feature: Products
Requirement source: Site Scenario
Source scenario ID: SRC-TC-08
Coverage status: Fully Covered
Coverage rationale: The All Products page, complete product list, product-detail navigation, and required product attributes were verified successfully.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-PRODUCT-001.png
Gap / reconciliation note: No immediate gap. Preserve evidence showing both the product list and product-detail information.",High,rtm-requirement,REQ-PRODUCT-001
AEQA,Requirement,REQ-PRODUCT-002 - Search Product,"Feature: Products
Requirement source: Site Scenario
Source scenario ID: SRC-TC-09
Coverage status: Fully Covered
Coverage rationale: Product search was executed successfully and the returned products were verified as relevant to the selected search term.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-PRODUCT-002.png
Gap / reconciliation note: No immediate gap. Record the exact search term with each future execution.",High,rtm-requirement,REQ-PRODUCT-002
AEQA,Requirement,REQ-SUB-001 - Verify Subscription in home page,"Feature: Subscription
Requirement source: Site Scenario
Source scenario ID: SRC-TC-10
Coverage status: Fully Covered
Coverage rationale: The home-page footer displayed the subscription heading, accepted the sanitized email, and showed the expected success message.
Test type: Functional — Positive
Execution environment: QA | automationexercise.com
Manual result: Pass
Postman result: N/A
Playwright result: Pass
Overall execution status: Pass
Evidence reference(s): ..\Screenshots\AE-SUB-001.png
Gap / reconciliation note: No immediate gap. Retain the sanitized AE-SUB-001 screenshot and reuse a controlled email value during regression testing.",Medium,rtm-requirement,REQ-SUB-001
